iter	Passed	Remaining
578	1786	1299
579	1805	1307
580	1809	1305
581	1839	1321
582	1885	1348
583	1894	1349
584	1898	1346
585	1901	1343
586	1906	1341
587	1925	1349
588	1929	1346
589	1933	1343
590	1937	1340
591	1943	1339
592	1947	1336
593	1951	1334
594	1956	1331
595	1962	1329
596	1966	1327
597	1970	1324
598	1974	1321
599	1977	1318
600	1980	1314
601	1983	1311
602	1987	1308
603	1990	1305
604	1994	1302
605	1998	1299
606	2001	1296
607	2005	1292
608	2008	1289
609	2011	1286
610	2015	1283
611	2019	1280
612	2022	1276
613	2026	1274
614	2030	1270
615	2034	1268
616	2037	1264
617	2040	1261
618	2043	1257
619	2045	1253
620	2048	1250
621	2051	1246
622	2054	1243
623	2057	1239
624	2059	1235
625	2062	1232
626	2065	1228
627	2068	1225
628	2071	1221
629	2074	1218
630	2076	1214
631	2079	1210
632	2083	1207
633	2086	1204
634	2089	1200
635	2091	1197
636	2094	1193
637	2097	1190
638	2100	1186
639	2103	1182
640	2105	1179
641	2108	1175
642	2112	1172
643	2115	1169
644	2118	1165
645	2121	1162
646	2124	1158
647	2128	1155
648	2131	1152
649	2135	1149
650	2138	1146
651	2142	1143
652	2146	1140
653	2149	1137
654	2152	1133
655	2156	1130
656	2160	1127
657	2163	1124
658	2166	1120
659	2169	1117
660	2172	1114
661	2178	1112
662	2181	1108
663	2184	1105
664	2187	1102
665	2192	1099
666	2196	1096
667	2199	1093
668	2202	1089
669	2206	1086
670	2210	1083
671	2214	1080
672	2217	1077
673	2220	1074
674	2225	1071
675	2228	1068
676	2232	1065
677	2235	1061
678	2238	1058
679	2242	1055
680	2245	1051
681	2248	1048
682	2251	1044
683	2255	1042
684	2258	1038
685	2261	1035
686	2265	1031
687	2268	1028
688	2272	1025
689	2275	1022
690	2278	1018
691	2281	1015
692	2285	1012
693	2289	1009
694	2291	1005
695	2294	1002
696	2297	998
697	2300	995
698	2303	991
699	2306	988
700	2309	984
701	2311	981
702	2314	977
703	2317	974
704	2320	971
705	2323	967
706	2326	964
707	2329	960
708	2332	957
709	2335	954
710	2338	950
711	2341	947
712	2344	943
713	2346	939
714	2349	936
715	2352	933
716	2355	929
717	2358	926
718	2360	922
719	2363	919
720	2366	915
721	2369	912
722	2372	909
723	2375	905
724	2378	902
725	2383	899
726	2386	896
727	2389	892
728	2392	889
729	2396	886
730	2399	883
731	2402	879
732	2406	876
733	2409	873
734	2413	870
735	2416	866
736	2419	863
737	2422	860
738	2426	856
739	2430	853
740	2434	850
741	2438	847
742	2441	844
743	2445	841
744	2448	838
745	2451	834
746	2455	831
747	2458	828
748	2462	825
749	2466	822
750	2469	818
751	2472	815
752	2475	812
753	2479	808
754	2482	805
755	2485	802
756	2488	798
757	2492	795
758	2496	792
759	2499	789
760	2502	786
761	2506	782
762	2509	779
763	2512	776
764	2516	772
765	2519	769
766	2523	766
767	2526	763
768	2528	759
769	2531	756
770	2534	752
771	2537	749
772	2541	746
773	2544	742
774	2546	739
775	2549	735
776	2552	732
777	2555	729
778	2558	725
779	2561	722
780	2563	718
781	2566	715
782	2570	712
783	2572	708
784	2575	705
785	2578	702
786	2581	698
787	2584	695
788	2587	691
789	2590	688
790	2592	685
791	2595	681
792	2598	678
793	2601	674
794	2604	671
795	2607	668
796	2609	664
797	2612	661
798	2616	658
799	2619	654
800	2621	651
801	2624	647
802	2627	644
803	2630	641
804	2633	638
805	2636	634
806	2639	631
807	2642	627
808	2645	624
809	2648	621
810	2651	617
811	2653	614
812	2656	611
813	2659	607
814	2661	604
815	2665	600
816	2668	597
817	2670	594
818	2673	590
819	2676	587
820	2679	584
821	2682	580
822	2685	577
823	2689	574
824	2692	571
825	2696	567
826	2699	564
827	2703	561
828	2706	558
829	2709	555
830	2714	552
831	2718	548
832	2722	545
833	2726	542
834	2730	539
835	2733	536
836	2737	533
837	2740	529
838	2743	526
839	2746	523
840	2750	519
841	2753	516
842	2757	513
843	2760	510
844	2763	506
845	2767	503
846	2770	500
847	2774	497
848	2779	494
849	2782	491
850	2785	487
851	2789	484
852	2793	481
853	2797	478
854	2800	474
855	2804	471
856	2808	468
857	2811	465
858	2814	461
859	2817	458
860	2823	455
861	2826	452
862	2830	449
863	2833	446
864	2837	442
865	2840	439
866	2842	436
867	2845	432
868	2848	429
869	2851	426
870	2855	422
871	2857	419
872	2860	416
873	2863	412
874	2866	409
875	2869	406
876	2872	402
877	2875	399
878	2878	396
879	2881	392
880	2884	389
881	2886	386
882	2889	382
883	2892	379
884	2894	376
885	2897	372
886	2901	369
887	2904	366
888	2906	362
889	2909	359
890	2912	356
891	2916	353
892	2919	349
893	2922	346
894	2925	343
895	2928	339
896	2931	336
897	2934	333
898	2937	329
899	2939	326
900	2942	323
901	2945	319
902	2948	316
903	2951	313
904	2954	310
905	2957	306
906	2959	303
907	2962	300
908	2966	296
909	2968	293
910	2971	290
911	2974	286
912	2977	283
913	2980	280
914	2983	277
915	2986	273
916	2989	270
917	2992	267
918	2996	264
919	3001	261
920	3004	257
921	3007	254
922	3012	251
923	3016	248
924	3019	244
925	3023	241
926	3026	238
927	3030	235
928	3033	231
929	3036	228
930	3039	225
931	3043	222
932	3047	218
933	3050	215
934	3053	212
935	3057	209
936	3060	205
937	3063	202
938	3067	199
939	3070	195
940	3073	192
941	3077	189
942	3080	186
943	3083	182
944	3086	179
945	3090	176
946	3094	173
947	3097	169
948	3100	166
949	3103	163
950	3107	160
951	3111	156
952	3114	153
953	3117	150
954	3122	147
955	3126	143
956	3130	140
957	3133	137
958	3137	134
959	3140	130
960	3143	127
961	3146	124
962	3149	121
963	3152	117
964	3155	114
965	3158	111
966	3161	107
967	3163	104
968	3166	101
969	3169	98
970	3172	94
971	3174	91
972	3177	88
973	3179	84
974	3182	81
975	3185	78
976	3188	75
977	3190	71
978	3193	68
979	3196	65
980	3199	61
981	3202	58
982	3205	55
983	3207	52
984	3210	48
985	3212	45
986	3216	42
987	3219	39
988	3221	35
989	3224	32
990	3227	29
991	3230	26
992	3233	22
993	3236	19
994	3238	16
995	3241	13
996	3244	9
997	3247	6
998	3250	3
999	3253	0
